date,title,amount
2026-03-14,"IOF de ""Google *Google One""",1.31
2026-03-14,Google *Google One,37.46
2026-03-13,Hotmart Hotmart Pages,190.50
2026-03-12,Posto Pannunzio,175.73
2026-03-12,Contabilizei Tecnologi,526.99
2026-03-11,Scoobiburger,20.00
2026-03-10,"IOF de ""Fal Features Labels""",3.79
2026-03-10,Fal Features Labels,108.45
2026-03-09,Fc* Freepik Premium Mo,82.15
2026-03-09,"IOF de ""Fc* Freepik Premium Mo""",2.87
2026-03-05,Posto Pannunzio,139.12
2026-02-26,"IOF de ""Fal Features Labels""",1.87
2026-02-26,REGIANE DE PAULA VIDAL SILVA,109.84
2026-02-26,Fal Features Labels,53.50
2026-02-24,Contabilizei Tecnologi,369.00
2026-02-22,Cafe Pimenta,16.00
2026-02-22,Posto Pannunzio,107.40
2026-02-20,Pagamento recebido,-1202.57
2026-02-18,Posto Pannunzio,135.01
2026-02-15,Ebn*Canva0468 - Parcela 5/12,24.15
2026-02-15,Htm*O Novo Mercado Esc - Parcela 7/12,54.33
2026-02-15,Ebn *Canva04583 - Parcela 8/12,24.15
2026-02-15,Adaptaorg - Parcela 5/12,199.00
2026-02-15,Luciano de Souza Pesso - Parcela 6/12,19.15
